id,category,priority,title
SV-WEB-001,Discovery,P2,Backlog item 1
SV-WEB-002,Product Page,P3,Backlog item 2
SV-WEB-003,Checkout,P1,Backlog item 3
SV-WEB-004,Shipping,P2,Backlog item 4
SV-WEB-005,Accounts,P3,Backlog item 5
SV-WEB-006,Content/SEO,P1,Backlog item 6
SV-WEB-007,Ops/QC/Inventory,P2,Backlog item 7
SV-WEB-008,Admin/Analytics,P3,Backlog item 8
SV-WEB-009,Security/Performance,P1,Backlog item 9
SV-WEB-010,Discovery,P2,Backlog item 10
SV-WEB-011,Product Page,P3,Backlog item 11
SV-WEB-012,Checkout,P1,Backlog item 12
SV-WEB-013,Shipping,P2,Backlog item 13
SV-WEB-014,Accounts,P3,Backlog item 14
SV-WEB-015,Content/SEO,P1,Backlog item 15
SV-WEB-016,Ops/QC/Inventory,P2,Backlog item 16
SV-WEB-017,Admin/Analytics,P3,Backlog item 17
SV-WEB-018,Security/Performance,P1,Backlog item 18
SV-WEB-019,Discovery,P2,Backlog item 19
SV-WEB-020,Product Page,P3,Backlog item 20
SV-WEB-021,Checkout,P1,Backlog item 21
SV-WEB-022,Shipping,P2,Backlog item 22
SV-WEB-023,Accounts,P3,Backlog item 23
SV-WEB-024,Content/SEO,P1,Backlog item 24
SV-WEB-025,Ops/QC/Inventory,P2,Backlog item 25
SV-WEB-026,Admin/Analytics,P3,Backlog item 26
SV-WEB-027,Security/Performance,P1,Backlog item 27
SV-WEB-028,Discovery,P2,Backlog item 28
SV-WEB-029,Product Page,P3,Backlog item 29
SV-WEB-030,Checkout,P1,Backlog item 30
SV-WEB-031,Shipping,P2,Backlog item 31
SV-WEB-032,Accounts,P3,Backlog item 32
SV-WEB-033,Content/SEO,P1,Backlog item 33
SV-WEB-034,Ops/QC/Inventory,P2,Backlog item 34
SV-WEB-035,Admin/Analytics,P3,Backlog item 35
SV-WEB-036,Security/Performance,P1,Backlog item 36
SV-WEB-037,Discovery,P2,Backlog item 37
SV-WEB-038,Product Page,P3,Backlog item 38
SV-WEB-039,Checkout,P1,Backlog item 39
SV-WEB-040,Shipping,P2,Backlog item 40
SV-WEB-041,Accounts,P3,Backlog item 41
SV-WEB-042,Content/SEO,P1,Backlog item 42
SV-WEB-043,Ops/QC/Inventory,P2,Backlog item 43
SV-WEB-044,Admin/Analytics,P3,Backlog item 44
SV-WEB-045,Security/Performance,P1,Backlog item 45
SV-WEB-046,Discovery,P2,Backlog item 46
SV-WEB-047,Product Page,P3,Backlog item 47
SV-WEB-048,Checkout,P1,Backlog item 48
SV-WEB-049,Shipping,P2,Backlog item 49
SV-WEB-050,Accounts,P3,Backlog item 50
SV-WEB-051,Content/SEO,P1,Backlog item 51
SV-WEB-052,Ops/QC/Inventory,P2,Backlog item 52
SV-WEB-053,Admin/Analytics,P3,Backlog item 53
SV-WEB-054,Security/Performance,P1,Backlog item 54
SV-WEB-055,Discovery,P2,Backlog item 55
SV-WEB-056,Product Page,P3,Backlog item 56
SV-WEB-057,Checkout,P1,Backlog item 57
SV-WEB-058,Shipping,P2,Backlog item 58
SV-WEB-059,Accounts,P3,Backlog item 59
SV-WEB-060,Content/SEO,P1,Backlog item 60
SV-WEB-061,Ops/QC/Inventory,P2,Backlog item 61
SV-WEB-062,Admin/Analytics,P3,Backlog item 62
SV-WEB-063,Security/Performance,P1,Backlog item 63
SV-WEB-064,Discovery,P2,Backlog item 64
SV-WEB-065,Product Page,P3,Backlog item 65
SV-WEB-066,Checkout,P1,Backlog item 66
SV-WEB-067,Shipping,P2,Backlog item 67
SV-WEB-068,Accounts,P3,Backlog item 68
SV-WEB-069,Content/SEO,P1,Backlog item 69
SV-WEB-070,Ops/QC/Inventory,P2,Backlog item 70
SV-WEB-071,Admin/Analytics,P3,Backlog item 71
SV-WEB-072,Security/Performance,P1,Backlog item 72
SV-WEB-073,Discovery,P2,Backlog item 73
SV-WEB-074,Product Page,P3,Backlog item 74
SV-WEB-075,Checkout,P1,Backlog item 75
SV-WEB-076,Shipping,P2,Backlog item 76
SV-WEB-077,Accounts,P3,Backlog item 77
SV-WEB-078,Content/SEO,P1,Backlog item 78
SV-WEB-079,Ops/QC/Inventory,P2,Backlog item 79
SV-WEB-080,Admin/Analytics,P3,Backlog item 80
SV-WEB-081,Security/Performance,P1,Backlog item 81
SV-WEB-082,Discovery,P2,Backlog item 82
SV-WEB-083,Product Page,P3,Backlog item 83
SV-WEB-084,Checkout,P1,Backlog item 84
SV-WEB-085,Shipping,P2,Backlog item 85
SV-WEB-086,Accounts,P3,Backlog item 86
SV-WEB-087,Content/SEO,P1,Backlog item 87
SV-WEB-088,Ops/QC/Inventory,P2,Backlog item 88
SV-WEB-089,Admin/Analytics,P3,Backlog item 89
SV-WEB-090,Security/Performance,P1,Backlog item 90
SV-WEB-091,Discovery,P2,Backlog item 91
SV-WEB-092,Product Page,P3,Backlog item 92
SV-WEB-093,Checkout,P1,Backlog item 93
SV-WEB-094,Shipping,P2,Backlog item 94
SV-WEB-095,Accounts,P3,Backlog item 95
SV-WEB-096,Content/SEO,P1,Backlog item 96
SV-WEB-097,Ops/QC/Inventory,P2,Backlog item 97
SV-WEB-098,Admin/Analytics,P3,Backlog item 98
SV-WEB-099,Security/Performance,P1,Backlog item 99
SV-WEB-100,Discovery,P2,Backlog item 100
SV-WEB-101,Product Page,P3,Backlog item 101
SV-WEB-102,Checkout,P1,Backlog item 102
SV-WEB-103,Shipping,P2,Backlog item 103
SV-WEB-104,Accounts,P3,Backlog item 104
SV-WEB-105,Content/SEO,P1,Backlog item 105
SV-WEB-106,Ops/QC/Inventory,P2,Backlog item 106
SV-WEB-107,Admin/Analytics,P3,Backlog item 107
SV-WEB-108,Security/Performance,P1,Backlog item 108
SV-WEB-109,Discovery,P2,Backlog item 109
SV-WEB-110,Product Page,P3,Backlog item 110
SV-WEB-111,Checkout,P1,Backlog item 111
SV-WEB-112,Shipping,P2,Backlog item 112
SV-WEB-113,Accounts,P3,Backlog item 113
SV-WEB-114,Content/SEO,P1,Backlog item 114
SV-WEB-115,Ops/QC/Inventory,P2,Backlog item 115
SV-WEB-116,Admin/Analytics,P3,Backlog item 116
SV-WEB-117,Security/Performance,P1,Backlog item 117
SV-WEB-118,Discovery,P2,Backlog item 118
SV-WEB-119,Product Page,P3,Backlog item 119
SV-WEB-120,Checkout,P1,Backlog item 120
SV-WEB-121,Shipping,P2,Backlog item 121
SV-WEB-122,Accounts,P3,Backlog item 122
SV-WEB-123,Content/SEO,P1,Backlog item 123
SV-WEB-124,Ops/QC/Inventory,P2,Backlog item 124
SV-WEB-125,Admin/Analytics,P3,Backlog item 125
SV-WEB-126,Security/Performance,P1,Backlog item 126
SV-WEB-127,Discovery,P2,Backlog item 127
SV-WEB-128,Product Page,P3,Backlog item 128
SV-WEB-129,Checkout,P1,Backlog item 129
SV-WEB-130,Shipping,P2,Backlog item 130
SV-WEB-131,Accounts,P3,Backlog item 131
SV-WEB-132,Content/SEO,P1,Backlog item 132
SV-WEB-133,Ops/QC/Inventory,P2,Backlog item 133
SV-WEB-134,Admin/Analytics,P3,Backlog item 134
SV-WEB-135,Security/Performance,P1,Backlog item 135
SV-WEB-136,Discovery,P2,Backlog item 136
SV-WEB-137,Product Page,P3,Backlog item 137
SV-WEB-138,Checkout,P1,Backlog item 138
SV-WEB-139,Shipping,P2,Backlog item 139
SV-WEB-140,Accounts,P3,Backlog item 140
SV-WEB-141,Content/SEO,P1,Backlog item 141
SV-WEB-142,Ops/QC/Inventory,P2,Backlog item 142
SV-WEB-143,Admin/Analytics,P3,Backlog item 143
SV-WEB-144,Security/Performance,P1,Backlog item 144
SV-WEB-145,Discovery,P2,Backlog item 145
SV-WEB-146,Product Page,P3,Backlog item 146
SV-WEB-147,Checkout,P1,Backlog item 147
SV-WEB-148,Shipping,P2,Backlog item 148
SV-WEB-149,Accounts,P3,Backlog item 149
SV-WEB-150,Content/SEO,P1,Backlog item 150
SV-WEB-151,Ops/QC/Inventory,P2,Backlog item 151
SV-WEB-152,Admin/Analytics,P3,Backlog item 152
SV-WEB-153,Security/Performance,P1,Backlog item 153
SV-WEB-154,Discovery,P2,Backlog item 154
SV-WEB-155,Product Page,P3,Backlog item 155
SV-WEB-156,Checkout,P1,Backlog item 156
SV-WEB-157,Shipping,P2,Backlog item 157
SV-WEB-158,Accounts,P3,Backlog item 158
SV-WEB-159,Content/SEO,P1,Backlog item 159
SV-WEB-160,Ops/QC/Inventory,P2,Backlog item 160
SV-WEB-161,Admin/Analytics,P3,Backlog item 161
SV-WEB-162,Security/Performance,P1,Backlog item 162
SV-WEB-163,Discovery,P2,Backlog item 163
SV-WEB-164,Product Page,P3,Backlog item 164
SV-WEB-165,Checkout,P1,Backlog item 165
SV-WEB-166,Shipping,P2,Backlog item 166
SV-WEB-167,Accounts,P3,Backlog item 167
SV-WEB-168,Content/SEO,P1,Backlog item 168
SV-WEB-169,Ops/QC/Inventory,P2,Backlog item 169
SV-WEB-170,Admin/Analytics,P3,Backlog item 170
SV-WEB-171,Security/Performance,P1,Backlog item 171
SV-WEB-172,Discovery,P2,Backlog item 172
SV-WEB-173,Product Page,P3,Backlog item 173
SV-WEB-174,Checkout,P1,Backlog item 174
SV-WEB-175,Shipping,P2,Backlog item 175
SV-WEB-176,Accounts,P3,Backlog item 176
SV-WEB-177,Content/SEO,P1,Backlog item 177
SV-WEB-178,Ops/QC/Inventory,P2,Backlog item 178
SV-WEB-179,Admin/Analytics,P3,Backlog item 179
SV-WEB-180,Security/Performance,P1,Backlog item 180
SV-WEB-181,Discovery,P2,Backlog item 181
SV-WEB-182,Product Page,P3,Backlog item 182
SV-WEB-183,Checkout,P1,Backlog item 183
SV-WEB-184,Shipping,P2,Backlog item 184
SV-WEB-185,Accounts,P3,Backlog item 185
SV-WEB-186,Content/SEO,P1,Backlog item 186
SV-WEB-187,Ops/QC/Inventory,P2,Backlog item 187
SV-WEB-188,Admin/Analytics,P3,Backlog item 188
SV-WEB-189,Security/Performance,P1,Backlog item 189
SV-WEB-190,Discovery,P2,Backlog item 190
SV-WEB-191,Product Page,P3,Backlog item 191
SV-WEB-192,Checkout,P1,Backlog item 192
SV-WEB-193,Shipping,P2,Backlog item 193
SV-WEB-194,Accounts,P3,Backlog item 194
SV-WEB-195,Content/SEO,P1,Backlog item 195
SV-WEB-196,Ops/QC/Inventory,P2,Backlog item 196
SV-WEB-197,Admin/Analytics,P3,Backlog item 197
SV-WEB-198,Security/Performance,P1,Backlog item 198
SV-WEB-199,Discovery,P2,Backlog item 199
SV-WEB-200,Product Page,P3,Backlog item 200
SV-WEB-201,Checkout,P1,Backlog item 201
SV-WEB-202,Shipping,P2,Backlog item 202
SV-WEB-203,Accounts,P3,Backlog item 203
SV-WEB-204,Content/SEO,P1,Backlog item 204
SV-WEB-205,Ops/QC/Inventory,P2,Backlog item 205
SV-WEB-206,Admin/Analytics,P3,Backlog item 206
SV-WEB-207,Security/Performance,P1,Backlog item 207
SV-WEB-208,Discovery,P2,Backlog item 208
SV-WEB-209,Product Page,P3,Backlog item 209
SV-WEB-210,Checkout,P1,Backlog item 210
SV-WEB-211,Shipping,P2,Backlog item 211
SV-WEB-212,Accounts,P3,Backlog item 212
SV-WEB-213,Content/SEO,P1,Backlog item 213
SV-WEB-214,Ops/QC/Inventory,P2,Backlog item 214
SV-WEB-215,Admin/Analytics,P3,Backlog item 215
SV-WEB-216,Security/Performance,P1,Backlog item 216
SV-WEB-217,Discovery,P2,Backlog item 217
SV-WEB-218,Product Page,P3,Backlog item 218
SV-WEB-219,Checkout,P1,Backlog item 219
SV-WEB-220,Shipping,P2,Backlog item 220
SV-WEB-221,Accounts,P3,Backlog item 221
SV-WEB-222,Content/SEO,P1,Backlog item 222
